"","FIPS","State","Life.Expectancy","Residential.Segregation.Index","Percent.Limited.Access.Healthy.Foods","Percent.Uninsured.Adults","School.Funding.Adequacy","Median.Household.Income","School.Funding.Cat","Median.Prop.Tax","Region","Division"
"101",2282,"Alaska",NA,NA,0.1119083202,24.038461538,NA,78552,NA,1261,"West","Pacific"
"102",2290,"Alaska",70.225076916,NA,43.278596858,27.064595258,NA,47798,NA,433,"West","Pacific"
"103",4001,"Arizona",66.094833518,67.241362438,35.341359051,20.142553629,-4544.9307,40632,"0",505,"West","Mountain"
"104",4003,"Arizona",76.705461843,56.407990208,15.553432777,13.49751434,-7992.390971,55254,"0",1194,"West","Mountain"
"105",4005,"Arizona",76.712354027,59.371025514,13.317311456,16.07124975,-4757.914075,64016,"0",1535,"West","Mountain"
"106",4007,"Arizona",70.7179949,65.012333762,11.015265243,17.814019131,-345.6703333,51928,"0",1212,"West","Mountain"
"107",4009,"Arizona",75.022930011,55.468199953,15.74426948,15.535097814,-2315.6937,63797,"0",834,"West","Mountain"
"108",4011,"Arizona",77.993885409,57.624716553,14.048794021,11.008836524,-875.211,76338,"0",346,"West","Mountain"
"109",4012,"Arizona",73.978040219,NA,26.486596307,22.618692147,-12901.61625,53925,"0",705,"West","Mountain"
"110",4013,"Arizona",78.160544614,46.104073044,5.5091398411,14.601674771,-4670.097463,83668,"0",1489,"West","Mountain"
"111",4015,"Arizona",73.769834334,61.05366739,18.697614504,15.513651721,-8895.349111,54842,"0",952,"West","Mountain"
"112",4017,"Arizona",68.756275353,78.042113788,26.001611185,19.402218976,-3877.088291,49948,"0",913,"West","Mountain"
"113",4019,"Arizona",77.12531728,44.054518179,8.9287254303,13.621039886,-3321.949346,64007,"0",1753,"West","Mountain"
"114",4021,"Arizona",79.416431287,53.281001627,14.213206997,15.171057271,-3910.848624,76232,"0",1295,"West","Mountain"
"115",4023,"Arizona",79.601627929,NA,18.324118146,21.349782851,-3414.180454,53467,"0",1146,"West","Mountain"
"116",4025,"Arizona",76.99002318,70.368544246,12.979765332,16.779858229,-3183.894377,64187,"0",1350,"West","Mountain"
"117",4027,"Arizona",78.553120252,55.500139846,10.30404572,22.624387777,-7917.137222,54209,"0",1086,"West","Mountain"
"118",5001,"Arkansas",70.208546081,40.334064117,23.658697369,10.325211978,-7085.364,52145,"0",525,"South","West South Central"
"119",5003,"Arkansas",71.884870665,26.630273766,9.444407986,13.881648808,-6713.943,47253,"0",424,"South","West South Central"
"120",5005,"Arkansas",74.473991032,NA,5.6192546204,12.543026298,-1491.200767,48573,"0",690,"South","West South Central"
"121",5007,"Arkansas",78.501948461,49.176413824,6.6890514669,14.028922827,-1895.273,86374,"0",1292,"South","West South Central"
"122",5009,"Arkansas",74.855603675,NA,8.8325340069,12.880976792,-2242.952933,53025,"0",748,"South","West South Central"
"123",5011,"Arkansas",71.322855563,19.694402644,10.207484005,16.781767956,-11654.195,44982,"0",512,"South","West South Central"
"124",5013,"Arkansas",70.839457755,23.292821984,24.688448274,12.93294031,-3442.381,52535,"0",402,"South","West South Central"
"125",5015,"Arkansas",75.926865071,85.156660249,6.8550358313,18.874749693,-9081.733667,50433,"0",927,"South","West South Central"
"126",5017,"Arkansas",70.976438423,57.841338436,16.10584628,12.929623568,-33265.33,38217,"0",423,"South","West South Central"
"127",5019,"Arkansas",73.970494437,19.02710353,10.706435376,12.188416422,-10185.566,50519,"0",610,"South","West South Central"
"128",5021,"Arkansas",72.509920077,NA,7.0996772649,13.411649535,-3252.609667,46855,"0",454,"South","West South Central"
"129",5023,"Arkansas",75.169252471,76.984939943,6.6200988478,12.9563932,-3942.8345,52662,"0",676,"South","West South Central"
"130",5025,"Arkansas",73.368987141,10.942199015,7.6178501897,10.725110748,-4689.138,55533,"0",482,"South","West South Central"
"131",5027,"Arkansas",72.264733023,41.978340876,8.6118965991,12.099258889,-6309.1245,47278,"0",433,"South","West South Central"
"132",5029,"Arkansas",74.092624452,31.312451582,9.7478411188,12.338904132,-3116.711333,52405,"0",546,"South","West South Central"
"133",5031,"Arkansas",75.064040605,43.438108012,9.1221758572,11.455529728,-5692.914288,60580,"0",794,"South","West South Central"
"134",5033,"Arkansas",74.428528838,68.27693067,13.186038528,15.104609627,-2931.55242,54741,"0",712,"South","West South Central"
"135",5035,"Arkansas",70.411163015,48.972733754,10.622443126,12.549448065,-24487.78333,49644,"0",692,"South","West South Central"
"136",5037,"Arkansas",71.927384391,59.152104298,14.551487695,14.252509245,-3759.3715,48299,"0",508,"South","West South Central"
"137",5039,"Arkansas",71.20601202,41.851708945,26.792627756,11.990187059,-23911.16,44476,"0",375,"South","West South Central"
"138",5041,"Arkansas",71.458592572,24.628271143,16.613151534,13.524384113,-17494.85,41251,"0",446,"South","West South Central"
"139",5043,"Arkansas",73.456521355,38.430058879,9.2006050811,11.498150432,-7498.455,48635,"0",550,"South","West South Central"
"140",5045,"Arkansas",75.789809023,42.685470374,11.915398571,11.233864252,-1437.091667,63429,"0",1013,"South","West South Central"
"141",5047,"Arkansas",72.813758305,NA,1.8894521931,12.309247094,-3078.4972,48248,"0",531,"South","West South Central"
"142",5049,"Arkansas",72.768624336,NA,5.9338312198,11.853114348,-4367.137,42588,"0",460,"South","West South Central"
"143",5051,"Arkansas",72.975717768,52.81915293,10.65407406,14.699424046,-2295.159171,53239,"0",767,"South","West South Central"
"144",5053,"Arkansas",73.81601755,18.314646947,12.464759246,9.5118549512,-3172.35665,63512,"0",611,"South","West South Central"
"145",5055,"Arkansas",74.071660993,66.17810599,6.6507178492,11.312151169,-1582.2358,54475,"0",683,"South","West South Central"
"146",5057,"Arkansas",74.822696928,34.428400159,16.108882814,14.472834609,-9612.338333,46423,"0",413,"South","West South Central"
"147",5059,"Arkansas",72.981994567,64.009845822,11.213107535,10.436786655,-4564.54093,50654,"0",542,"South","West South Central"
"148",5061,"Arkansas",73.067267596,41.870822706,16.120074635,14.723489168,-10965.209,46449,"0",486,"South","West South Central"
"149",5063,"Arkansas",74.260337928,63.882165603,6.0958814394,14.009729629,-3455.54925,57611,"0",669,"South","West South Central"
"150",5065,"Arkansas",74.26158922,NA,0.3212162646,11.898096305,-5927.607667,43920,"0",519,"South","West South Central"
"151",5067,"Arkansas",71.806161762,50.139632463,14.269319856,11.81272509,-7002.569,43579,"0",357,"South","West South Central"
"152",5069,"Arkansas",70.951506481,62.370766912,10.606394868,10.773971791,-12898.72633,45894,"0",537,"South","West South Central"
"153",5071,"Arkansas",73.709083267,42.94111137,13.329277557,16.169491525,-4812.571,46660,"0",543,"South","West South Central"
"154",5073,"Arkansas",73.394666294,26.10218933,11.357702636,15.344224037,-16829.42,42437,"0",390,"South","West South Central"
"155",5075,"Arkansas",72.054232599,60.794426954,16.813665268,12.576086957,-4658.748333,47312,"0",384,"South","West South Central"
"156",5077,"Arkansas",69.286815889,55.005671584,20.286818357,10.723933009,-37796.48,35213,"0",361,"South","West South Central"
"157",5079,"Arkansas",73.166111406,53.21339293,17.503821198,12.369086313,-4226.271,48311,"0",409,"South","West South Central"
"158",5081,"Arkansas",72.104025989,42.320580658,0.9872797871,10.969274158,-7641.9875,48883,"0",367,"South","West South Central"
"159",5083,"Arkansas",72.296942178,61.283857953,8.5999770086,11.307736018,-2101.35175,48510,"0",511,"South","West South Central"
"160",5085,"Arkansas",74.607088655,50.284434257,5.2967568257,10.455449923,-4586.6429,66160,"0",923,"South","West South Central"
"161",5087,"Arkansas",75.970248585,NA,10.986230917,15.100533443,-1226.553,51233,"0",504,"South","West South Central"
"162",5089,"Arkansas",73.732218395,NA,3.2087565959,13.378076063,-4328.8655,49313,"0",639,"South","West South Central"
"163",5091,"Arkansas",71.993726492,51.856795402,12.246415767,12.642448677,-3050.439,48652,"0",703,"South","West South Central"
"164",5093,"Arkansas",68.28796648,56.699667603,8.9944278877,12.061129923,-11031.6181,45168,"0",473,"South","West South Central"
"165",5095,"Arkansas",69.271294095,20.325292572,14.983969818,13.0109384,-27798.335,33090,"0",385,"South","West South Central"
"166",5097,"Arkansas",72.658069102,NA,10.536505923,16.352990381,-6264.095,46069,"0",474,"South","West South Central"
"167",5099,"Arkansas",73.110096153,7.063488843,27.36228135,10.957375586,-10278.114,44649,"0",352,"South","West South Central"
"168",5101,"Arkansas",74.345097328,NA,11.354713473,11.559208836,-2252.7673,47996,"0",501,"South","West South Central"
"169",5103,"Arkansas",71.533394321,20.595325212,18.149147084,11.314193288,-7502.745,49275,"0",442,"South","West South Central"
"170",5105,"Arkansas",74.087682129,39.88117915,5.3058965635,11.332524692,-5597.4725,56640,"0",550,"South","West South Central"
"171",5107,"Arkansas",67.665007222,39.638816644,18.935657668,11.029323036,-28891.69333,36098,"0",372,"South","West South Central"
"172",5109,"Arkansas",73.612730158,49.441299995,9.3728349573,15.564404432,-4565.822,41348,"0",455,"South","West South Central"
"173",5111,"Arkansas",69.349754741,41.233654911,10.325657892,14.196867322,-7703.30775,47372,"0",398,"South","West South Central"
"174",5113,"Arkansas",72.686940508,NA,16.946320931,17.197812559,-3100.6605,45289,"0",447,"South","West South Central"
"175",5115,"Arkansas",75.680987066,43.160637594,9.3706147103,15.103576071,-4221.755,57881,"0",767,"South","West South Central"
"176",5117,"Arkansas",74.238284556,22.36322705,2.1533284376,13.28213237,-5555.8265,51017,"0",458,"South","West South Central"
"177",5119,"Arkansas",74.321537474,49.468773245,12.881455409,12.770937872,-12719.133,57057,"0",1256,"South","West South Central"
