"","FIPS","State","Life Expectancy","Residential.Segregation.Index","% Limited Access to Healthy Foods","% Uninsured Adults","Spending per Pupil","School.Funding.Adequacy","Median Household Income","School.Funding.Cat","Median.Prop.Tax","Region","Division"
"84",5003,"Arkansas",71.884870665,26.630273766,9.444407986,13.881648808,10453,-6713.943,47253,"0",424,"South","West South Central"
"85",5005,"Arkansas",74.473991032,NA,5.6192546204,12.543026298,10121,-1491.200767,48573,"0",690,"South","West South Central"
"86",5007,"Arkansas",78.501948461,49.176413824,6.6890514669,14.028922827,10778,-1895.273,86374,"0",1292,"South","West South Central"
"87",5009,"Arkansas",74.855603675,NA,8.8325340069,12.880976792,10779.833333,-2242.952933,53025,"0",748,"South","West South Central"
"88",5011,"Arkansas",71.322855563,19.694402644,10.207484005,16.781767956,11691.5,-11654.195,44982,"0",512,"South","West South Central"
"89",5013,"Arkansas",70.839457755,23.292821984,24.688448274,12.93294031,12547,-3442.381,52535,"0",402,"South","West South Central"
"90",5015,"Arkansas",75.926865071,85.156660249,6.8550358313,18.874749693,12346.333333,-9081.733667,50433,"0",927,"South","West South Central"
"91",5017,"Arkansas",70.976438423,57.841338436,16.10584628,12.929623568,12733.5,-33265.33,38217,"0",423,"South","West South Central"
"92",5019,"Arkansas",73.970494437,19.02710353,10.706435376,12.188416422,10319.5,-10185.566,50519,"0",610,"South","West South Central"
"93",5021,"Arkansas",72.509920077,NA,7.0996772649,13.411649535,10143,-3252.609667,46855,"0",454,"South","West South Central"
"94",5023,"Arkansas",75.169252471,76.984939943,6.6200988478,12.9563932,12342,-3942.8345,52662,"0",676,"South","West South Central"
"95",5025,"Arkansas",73.368987141,10.942199015,7.6178501897,10.725110748,10305.5,-4689.138,55533,"0",482,"South","West South Central"
"96",5027,"Arkansas",72.264733023,41.978340876,8.6118965991,12.099258889,11111.5,-6309.1245,47278,"0",433,"South","West South Central"
"97",5029,"Arkansas",74.092624452,31.312451582,9.7478411188,12.338904132,11112,-3116.711333,52405,"0",546,"South","West South Central"
"98",5031,"Arkansas",75.064040605,43.438108012,9.1221758572,11.455529728,9957.5,-5692.914288,60580,"0",794,"South","West South Central"
"99",5033,"Arkansas",74.428528838,68.27693067,13.186038528,15.104609627,11514.2,-2931.55242,54741,"0",712,"South","West South Central"
"100",5035,"Arkansas",70.411163015,48.972733754,10.622443126,12.549448065,12481.333333,-24487.78333,49644,"0",692,"South","West South Central"
"101",5037,"Arkansas",71.927384391,59.152104298,14.551487695,14.252509245,10843.5,-3759.3715,48299,"0",508,"South","West South Central"
"102",5039,"Arkansas",71.20601202,41.851708945,26.792627756,11.990187059,18244,-23911.16,44476,"0",375,"South","West South Central"
"103",5041,"Arkansas",71.458592572,24.628271143,16.613151534,13.524384113,12216,-17494.85,41251,"0",446,"South","West South Central"
"104",5043,"Arkansas",73.456521355,38.430058879,9.2006050811,11.498150432,10394,-7498.455,48635,"0",550,"South","West South Central"
"105",5045,"Arkansas",75.789809023,42.685470374,11.915398571,11.233864252,10564.166667,-1437.091667,63429,"0",1013,"South","West South Central"
"106",5047,"Arkansas",72.813758305,NA,1.8894521931,12.309247094,10053.333333,-3078.4972,48248,"0",531,"South","West South Central"
"107",5049,"Arkansas",72.768624336,NA,5.9338312198,11.853114348,11218,-4367.137,42588,"0",460,"South","West South Central"
"108",5051,"Arkansas",72.975717768,52.81915293,10.65407406,14.699424046,11290.285714,-2295.159171,53239,"0",767,"South","West South Central"
"109",5053,"Arkansas",73.81601755,18.314646947,12.464759246,9.5118549512,9459.5,-3172.35665,63512,"0",611,"South","West South Central"
"110",5055,"Arkansas",74.071660993,66.17810599,6.6507178492,11.312151169,10065.666667,-1582.2358,54475,"0",683,"South","West South Central"
"111",5057,"Arkansas",74.822696928,34.428400159,16.108882814,14.472834609,10462.333333,-9612.338333,46423,"0",413,"South","West South Central"
"112",5059,"Arkansas",72.981994567,64.009845822,11.213107535,10.436786655,10340.4,-4564.54093,50654,"0",542,"South","West South Central"
"113",5061,"Arkansas",73.067267596,41.870822706,16.120074635,14.723489168,14418.333333,-10965.209,46449,"0",486,"South","West South Central"
"114",5063,"Arkansas",74.260337928,63.882165603,6.0958814394,14.009729629,11574,-3455.54925,57611,"0",669,"South","West South Central"
"115",5065,"Arkansas",74.26158922,NA,0.3212162646,11.898096305,11324.666667,-5927.607667,43920,"0",519,"South","West South Central"
"116",5067,"Arkansas",71.806161762,50.139632463,14.269319856,11.81272509,11918,-7002.569,43579,"0",357,"South","West South Central"
